,lat,long,depth,mag,stations
2,-20.62,181.03,650,4.2,15
4,-17.97,181.66,626,4.1,19
5,-20.42,181.96,649,4,11
6,-19.68,184.31,195,4,12
8,-28.11,181.93,194,4.4,15
10,-17.47,179.59,622,4.3,19
11,-21.44,180.69,583,4.4,13
12,-12.26,167,249,4.6,16
13,-18.54,182.11,554,4.4,19
14,-21,181.66,600,4.4,10
16,-15.94,184.95,306,4.3,11
18,-17.83,181.5,590,4.5,21
19,-23.5,179.78,570,4.4,13
20,-22.63,180.31,598,4.4,18
21,-20.84,181.16,576,4.5,17
22,-10.98,166.32,211,4.2,12
23,-23.3,180.16,512,4.4,18
24,-30.2,182,125,4.7,22
26,-17.94,181.49,537,4,15
27,-14.72,167.51,155,4.6,18
29,-20.97,181.47,582,4.5,25
30,-19.84,182.37,328,4.4,17
31,-22.58,179.24,553,4.6,21
34,-23.55,180.8,349,4,10
35,-16.3,186,48,4.5,10
36,-25.82,179.33,600,4.3,13
37,-18.73,169.23,206,4.5,17
38,-17.64,181.28,574,4.6,17
39,-17.66,181.4,585,4.1,17
40,-18.82,169.33,230,4.4,11
43,-24.97,179.82,511,4.4,23
44,-15.49,186.04,94,4.3,26
45,-19.23,169.41,246,4.6,27
47,-26.4,181.7,329,4.5,24
48,-11.77,166.32,70,4.4,18
49,-24.12,180.08,493,4.3,21
51,-18.75,182.35,554,4.2,13
52,-19.26,184.42,223,4,15
53,-22.75,173.2,46,4.6,26
54,-21.37,180.67,593,4.3,13
55,-20.1,182.16,489,4.2,16
57,-22.7,181,445,4.5,17
58,-22.06,180.6,584,4,11
59,-17.8,181.35,535,4.4,23
60,-24.2,179.2,530,4.3,12
62,-21.16,182.4,260,4.1,12
66,-17.1,184.93,286,4.7,25
67,-20.14,181.6,587,4.1,13
69,-20.42,181.86,530,4.5,27
71,-15.31,185.8,152,4,11
73,-11.55,166.2,96,4.3,14
76,-23.54,180.04,564,4.3,15
77,-19.21,184.7,197,4.1,11
78,-12.11,167.06,265,4.5,23
79,-21.81,181.71,323,4.2,15
82,-23.84,180.99,367,4.5,27
84,-20.12,183.4,284,4.3,15
85,-17.7,181.7,450,4,11
86,-19.66,184.31,170,4.3,15
88,-23.64,179.96,538,4.5,26
89,-15.43,186.3,123,4.2,16
92,-13.36,167.06,236,4.7,22
94,-19.72,169.71,271,4.2,14
95,-15.44,185.26,224,4.2,21
96,-19.73,182.4,375,4,18
97,-27.24,181.11,365,4.5,21
101,-16.98,185.61,108,4.1,12
102,-26.2,178.41,583,4.6,25
104,-33,181.6,72,4.7,22
105,-21.33,180.69,636,4.6,29
106,-19.44,183.5,293,4.2,15
107,-34.89,180.6,42,4.4,25
108,-20.24,169.49,100,4.6,22
111,-15.75,185.23,280,4.5,28
112,-16.85,182.31,388,4.2,14
113,-19.06,182.45,477,4,16
115,-26.2,178.35,606,4.4,21
116,-26.13,178.31,609,4.2,25
118,-13.47,172.29,64,4.7,14
120,-18.96,169.48,248,4.2,13
121,-14.65,166.97,82,4.8,28
122,-19.9,178.9,81,4.3,11
123,-22.05,180.4,606,4.7,27
124,-19.22,182.43,571,4.5,23
125,-31.24,180.6,328,4.4,18
127,-19.3,183.84,517,4.2,21
130,-19.19,183.51,307,4.3,19
131,-17.43,185.43,189,4.5,22
132,-17.05,181.22,527,4.2,24
133,-19.52,168.98,63,4.5,21
135,-21.3,180.82,624,4.3,14
136,-16.24,168.02,53,4.7,12
138,-23.95,182.8,199,4.6,14
140,-18.84,184.16,210,4.2,17
142,-20.65,181.4,582,4,14
145,-14.31,173.5,614,4.2,23
146,-20.1,184.4,186,4.2,10
147,-17.8,185.17,97,4.4,22
150,-17.9,181.5,573,4,19
153,-23.83,182.56,229,4.3,24
154,-11.8,165.8,112,4.2,20
155,-15.54,167.68,140,4.7,16
157,-11.75,166.07,69,4.2,14
158,-24.81,180,452,4.3,19
161,-17.98,180.5,626,4.1,19
170,-18.89,169.42,239,4.5,27
171,-17.82,181.83,640,4.3,24
173,-20.2,180.9,627,4.1,11
